ProductName,IngredientsText,ContainsCrustacean,ContainsMilk,ContainsEgg,ContainsFish,ContainsNut,ContainsSoy,ContainsSulphite
Sunfeast Yippee Pasta Treat-cheese,"Ingredients : Pasta: Wheat Semolina (Suji) (100%).Cheese Pasta Sauce Maker: Milk Solids, Dairy Whitener {Milk Solids, Refined Sugar And Emulsifiers [(INS 3339 (ii)), (INS339(iii))]}, Dehydrated Onion, Wheat Flour (Atta), lodized Salt, Hydrogenated Vegetable Oil, Corn Flour, Cheese Premix Powder (2.7%) {Cheese Solids (1.3%), Maltodextrin, Milk Solids, lodized Salt, Refined Soyabean Oil, Acidity Regulator (INS 330), Emulsifier [INS 331(iii)], Anticaking Agent (INS 551) And Nature Identical Flavouring Substances}, #Spices & Condiments, Dairy Creamer [Anticaking Agent (INS 551)], Thickener (INS 1450) And Flavour Enhancers (INS 627, INS 631).",0,1,0,0,0,0,0
MAGGI Pazzta Instant Pasta - Mushroom Penne,"Ingredients : MACARONI (PASTA): Semolina (Wheat) (100%) MASALA TASTEMAKER: Milk solids, Refined wheat flour (Maida), lodized salt, Cheese (8.1%), Onion (6.9%), Sugar, Starch, Dehydraded Mushroom (3.5%), Palm oil, Maltodextrin, Nature identical flavouring substance, Thickener (508), Black pepper powder, Dehydrated spring onion (0.8%), Flavour enhancer (635),Yeast extract powder, Colour (150d) and Corn oil.Contains Wheat & Mik.May contains Mustard & Soy.",0,1,0,0,0,1,0
MAGGI Pazzta Instant Pasta - Masala Penne,"Ingredients : MACARONI (PASTA) Semolina (Wheat) (100%). MASALA TASTEMAKER: Mixed spices (21.7%) (Dehydrated onion, Toasted onion flakes, Coriander powder, Roasted garlic flakes, Aniseed powder, Turmeric powder, Dehydrated coriander leaves, Cumin powder, Garlic powder, Red chilli powder, Black pepper powder, Fenugreek powder, Ginger powder, Capsicum extract, Clove powder, Green cardamom powder, Nutmeg powder, Coriander extract and Cumin extract), Milk solids, Sugar, lodized salt, Starch, Dehydrated Green peas (67%), Flavour enhancer (635), Palm oil, Yeast extract powder, Thickener (508), Colour (150d) and Acidity regulator (330). Contains Wheat & Milk.May contains Mustard & Soy",0,1,0,0,0,1,0
MAGGI Pazzta Instant Pasta - Cheese Macaroni,"Ingredients : MACARONI (PASTA) Semolina (Wheat) (100%).CHEESE TASTEMAKER: Milk solids, Potato, lodised salt, Starch, Sugar, Cheese (5.8%), Dehydrated Sweetcorn (5.5%), Maltodextrin, Palm oil, Black pepper powder, Flavour enhancer (635), Roasted garlic flakes, Thickener (508), Dehydrated spring onion (0.4%), Natural flavour, Oregano bits, Margarine and Turmeric.Contains Wheat & Milk.May contains Mustard & Soy.",0,1,0,0,0,1,0
MAGGI Pazzta Instant Pasta - Cheesy Tomato Twist,"Ingredients : MACARONI (PASTA) Semolina (Wheat) (100%). CHEESY TOMATO TASTEMAKER: Sugar, Tomato paste (13.7%), Milk solids, lodised salt, Mixed spices (Onion powder, Garlic powder, Roasted garlic flakes, Cumin powder, Red chilli powder, Spice extract blend, Black pepper powder), Dehydrated Green bell pepper (7.1%), Maltodextrin, Starch, Potato flakes, Cheese (2.9%), Palm oil, Thickener (508), Flavour enhancer (635), Oregano bits, Natural flavour, Nature identical flavouring substance and Acidity regulator (296).Contains Wheat and Milk. May contains Mustard and Soy.",0,1,0,0,0,1,0
Charliee Til Laddu,"_(NGREDIENTS: Sesame (Til), Peanuts, Jaggery. - Liquid Glucose, Sugar.",0,0,0,0,0,0,0
Bikaji Anjeer Dryfruit Burfee,"INGREDIENTS: Fig, Almond, Cashew Nut | < ristachio, Cardamom",0,0,0,0,1,0,0
Amul Frozen Rasmalai,"¢ oredients: Milk Solids, Sugar and Pistachio CONTAINS ADDED NATURE IDENTICAL FLAVOURING SUBSTANCES (ROSE WATEn,",0,1,0,0,1,0,0
Haldiram's Soan Papdi,"INGREDIENTS:Refined Sugar, Refined Wheat Flour (Maida), Refined Palmolein Oil, Bengal Gram Flour (Besan),Hydrogenated Vegetable Oil (Vanaspati), Liquid Glucose,Cardamom, > Almond & Pistachio Nuts.",0,0,0,0,1,0,0
Cham Cham by Haldiram's Nagpur,,0,0,0,0,0,0,0
Kinder Joy Chocolate Snack,"PROPRIETARY FOOD - COATED WAFER BISCUITS WITH COCOA SPREADS (MAIDA), REFINED SALSEED FAT, WHEAT STARCH, POWDERED BARLEY MALT EXTRACT, EMULSIFIER (LECITHIN - INS 322), WHEY PROTEIN INCENTRATE, SUNFLOWERSEED OIL (HIGH OLEIC ACID), RAISING AGENTS (INS 503i, INS 500i), JRE-IDENTICAL FLAVOURING SUBSTANCES, IODIZED SALT. iEN INFORMATION: Contains MILK, WHEAT, BARLEY, SOY. : Bakery wares - Other fine bakery products (7.2.2)",0,1,0,0,0,1,0
Kinder Schoko-Bons Crispy,"PROPRIETARY FOOD - CRISP AND MILK CHOCOLATE COATED WAFER BISCUIT WITH COCOA FILLING, category: Bokery wares - Other fine bakery products (7.22). INGREDIENTS: SUGAR, MILK CHOCOLATE (18.5%) (SUGAR, COCOA BUTTER, MILK POWDER, COCOA MASS, EMULSIFIER (LECITHIN - INS 322), NATURE-IDENTICAL FLAVOURING SUBSTANCE - VANILLIN), PALM OLEIN, SKIMMED MILK POWDER (12.5%), REFINED WHEAT FLOUR (MAIDA), PALM OIL, LOW FAT COCOA POWDER (3.546), WHEAT STARCH, WHEY PROTEIN CONCENTRATE, SUNFLOWER OIL (HIGH OLEIC ACID), RAISING AGENTS (INS 503i, INS SOOii), EMULSIFIER (LECITHIN - INS 322), BARLEY MALT EXTRACT POWDER, NATURE IDENTICAL FLAVOURING SUBSTANCE, IODIZED SALT.",0,1,0,0,0,0,0
Chupa Chups Sour Bites Mixed Fruit Flavour,"Ingredients: Liquid Glucose, Sugar, Refined Wheat Flour (Maida), Invert Sugar, Acidity Regulators (INS 296, INS 330), D dahtrece Vegetable Oil, Flavour Naaie cen), olours (INS 133, INS 110, INS 102, INS 122) Contains Wheat (Gluten)",0,0,0,0,0,0,0
Alpenliebe Juzt Jelly Strawberry Flavour,"SUGAR BOILED CONFECTIONERY - SOFT CANDY Ingredients: Sugar, Fruit Pulp (25%) (Papaya 24.5%, Strawberry 0.5%), Invert Sugar, Liquid Glucose, Acidity Regulators (INS 330, INS 331 (iii) NS 296), Thickener (INS 440), Flavour (Natured Identical), Colour (INS 122).",0,0,0,0,0,0,0
Alpenliebe Gold Cream Strawberry Candy,"INGREDIENTS; SUGAR, LIQUID GLUCO- SE, HYDROGENATED VEGETABLE OIL, ACIDITY REGULATORS (INS 270, INS 325, INS SOO(ii), SWEETENED CON- DENSED MILK (1%), CREAM (LOW FAT) (1.5%), EMULSIFIER (INS 322), STA- BILIZER (INS 1405), EDIBLE COMMON SALT (IODIZED), HUMECTANT (INS 422), FRUIT PULP (0.37%). CONTAINS PERMITTED SYNTHETIC FOOD COLOURS (INS 124, INS 110) AND ADDED NATURE - IDENTICAL FLAVOURING SUBSTANCES - STRAWBERRY & VANILLA",0,1,0,0,0,0,0
Nestle Munch Chocolate,"Sugar, Refined Wheat flour (Maida), Hydrogenated vegetable fats, Fractionated vegetable fat, Milk solids, Cocoa solids (3.9%), Emulsifier (Soya lecithin), Raising agent (500(ii)), Yeast, lodised salt, Flour treatment agent (516), py ificial (Vanilla) flavouring substance and Nature-Identical flavouring substance. Contains Wheat, Milk, Sesame, Soy. May Contains Nut.",0,1,0,0,1,1,0
Cadbury Gems,"Panned Confectionery Ingredients: Sugar, Hydrogenated Oils, Cocoa Solids (8%), Lactose-Rich Deproteinized Whey Permeate Powder, Mlk Solids, Refined Wheat Flour (Maida, pEmulsifiers (414,442,476), Colours (171, 102, 133, 124, 127, 122, 132, 110), Glazing Agent (903), Liquid Glucose, Flavours (Natural, Nature Identical and Ariticial (Caramel and Vanilla) Flavouring Substances), Allergen Information: Contains Milk, Wheat, Sulphites, May Contain Soy.",0,1,0,0,0,1,1
Cadbury 5 Star,"Sugar Boiled Confectionery. Ingredients: Sugar, Liquid Glucose, Milk Solids, Invert Sugar, Hydrogenated Oil, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 471, 476), Hydrolyzed Vegetable Protein, lodised Salt, Flavours (Natural, Nature Identical and Artificial (Caramel and Vanilla) Flavouring Substances). Allergen Information: Contains Milk, Soy, Sulphites. May Contain Peanut, Wheat, Barley and Tree Nut.",0,1,0,0,1,1,1
Cadbury Dairy Milk Crispello,"Filled Chocolate Ingredients: Milk Chocolate 50%*- Sugar, Milk Solids (| 1%""), Cocoa Butter, Cocoa Solids, Emulsifiers (442,476), Flavours (Natural, Nature Identical and Artificial (Vanilla) Flavouring Substances); Centre 50%*. Sugar Fractionated Fat, Wheat Crispies | 1%* (Refined Wheat Flour (Maida), Sugar, Corn Starch, Cocoa Solids, lodised Salt, Palm Kernel Oil, Leavening Agents (450(i), 500(ii), 341())), Corn Starch, Cocoa Solids, Emulsifiers (442, 476), lodised Salt, Artificial (Vanilla) Flavouring Substances. Allergen Information: Contains Milk, Wheat, Sulphites. May Contain Tree Nuts, Barley, Soy",0,1,0,0,1,1,1
Nestle KitKat,"h- SEU AE ee Pe Sugar, Milk solids (16.2%), Fractionated vegetable fat, Hydrogenated vegetable fats, Refined Wheat flour (Maida), Cocoa solids (4.5%), Emulsifier (Soya lecithin), Yeast, Raising agent (500(ii)), Artificial (Vanilla) flavouring substance, lodised salt, Flour ] treatment agent (516) and Nature-Identical € flavouring substance. Contains Wheat, Milk, Sesame and Soy. May contains Nut.",0,1,0,0,1,1,0
